tconst,startYear,runtimeMinutes,budget,revenue,production_companies,original_language,origin_country,top_3_cast,director,keywords,genres,certification_us,release_date
tt0069049,2018,122.0,12000000.0,,"[36547, 7573]",en,['US'],"[{'id': 6593, 'popularity': 1.2742}, {'id': 143081, 'popularity': 0.507}, {'id': 39012, 'popularity': 1.5906}]","[{'id': 40, 'popularity': 2.1497}]","[1228, 8201, 4610, 9755, 11800, 9732, 12396, 14530, 33490, 34079, 235736]",[18],R,2018-11-02
tt0360556,2018,100.0,,,"[7429, 10944, 102334]",en,['US'],"[{'id': 135651, 'popularity': 4.9379}, {'id': 335, 'popularity': 2.8728}, {'id': 568657, 'popularity': 2.8979}]","[{'id': 45730, 'popularity': 0.5361}]","[818, 4565, 5737, 9714, 18082, 244256, 281445, 325844]","[18, 878, 53]",PG-13,2018-05-12
tt0365545,2018,98.0,,,"[2527, 151097]",en,['US'],"[{'id': 5411, 'popularity': 1.2491}, {'id': 195675, 'popularity': 1.6349}, {'id': 8874, 'popularity': 2.1171}]","[{'id': 1088579, 'popularity': 0.3004}]","[9799, 12096, 187056, 189368, 272029]","[35, 10749, 18]",,2018-09-21
tt0420293,2015,122.0,,643557.0,"[2289, 17379, 3898, 26834, 307]",en,['US'],"[{'id': 8289, 'popularity': 2.8504}, {'id': 11665, 'popularity': 2.0312}, {'id': 132157, 'popularity': 2.0954}]","[{'id': 229482, 'popularity': 0.1944}]","[378, 1706, 1228, 9672, 195897, 239390]","[53, 18, 36]",R,2015-07-17
tt0460890,2017,89.0,,2600000.0,"[6831, 715]",en,['US'],"[{'id': 1371041, 'popularity': 2.3217}, {'id': 1229, 'popularity': 3.3919}, {'id': 3967, 'popularity': 6.4806}]","[{'id': 87742, 'popularity': 0.9603}]","[11869, 34094, 168346]",[18],,2017-07-27
tt0462335,2015,119.0,,4289074.0,"[11561, 2395, 6705, 7281, 11667, 290, 11199, 39829]",en,['GB'],"[{'id': 91606, 'popularity': 3.1125}, {'id': 32798, 'popularity': 3.1758}, {'id': 23459, 'popularity': 5.1732}]","[{'id': 137467, 'popularity': 0.8563}]","[212, 818, 213, 1418, 12436, 156640, 163048, 179823, 192311, 210324]",[18],R,2015-11-22
tt0499097,2021,109.0,,,"[433, 102334, 156809, 4, 114732, 82819]",en,"['DE', 'US']","[{'id': 135651, 'popularity': 4.9379}, {'id': 478, 'popularity': 3.2563}, {'id': 529, 'popularity': 2.702}]","[{'id': 932533, 'popularity': 0.3879}]","[818, 11219, 179431]","[28, 53, 10752]",R,2021-04-30
tt0775440,2016,98.0,,1133031.0,"[34380, 5113, 6692, 18950, 78555]",en,['US'],"[{'id': 3036, 'popularity': 2.6032}, {'id': 2231, 'popularity': 7.361}, {'id': 77517, 'popularity': 1.4271}]","[{'id': 20133, 'popularity': 0.3043}]","[236, 822, 818, 1680, 4458, 10339, 9826, 15156, 177317, 188957, 189342, 201864, 211659, 248519, 249530, 321464]","[27, 878, 53]",R,2016-07-06
tt0787524,2015,108.0,,11472454.0,"[4135, 6455, 50079, 80468, 80469, 166595]",en,"['US', 'GB']","[{'id': 76788, 'popularity': 1.6504}, {'id': 16940, 'popularity': 3.8774}, {'id': 13014, 'popularity': 2.8488}]","[{'id': 1496011, 'popularity': 0.2021}]","[818, 392, 6009, 2303, 2461, 5565, 9672, 6165, 210184, 239811, 240139, 280999, 281176]","[18, 36]",PG-13,2016-04-08
tt0790770,2015,100.0,,3460466.0,"[38284, 3314, 13923, 72749]",en,['US'],"[{'id': 1896, 'popularity': 3.0216}, {'id': 3061, 'popularity': 4.8452}, {'id': 929826, 'popularity': 0.8343}]","[{'id': 1896, 'popularity': 3.0216}]","[1416, 5565, 6165, 222603]","[18, 10402, 36]",R,2016-01-22
tt0800175,2025,110.0,,271461.0,"[1020, 11761, 270079, 48738]",en,['US'],"[{'id': 1464589, 'popularity': 1.4032}, {'id': 118616, 'popularity': 1.266}, {'id': 1715541, 'popularity': 0.4878}]","[{'id': 69593, 'popularity': 0.586}]","[1299, 1400, 9990, 2011, 6556, 9717, 211227, 229607, 234213, 309974]","[12, 28, 14, 18]",R,2025-07-31
tt0800325,2019,107.0,,,"[115114, 8518, 134436]",en,['US'],"[{'id': 1276759, 'popularity': 1.0019}, {'id': 230680, 'popularity': 1.1092}, {'id': 234548, 'popularity': 1.0618}]","[{'id': 56578, 'popularity': 0.4324}]","[1803, 208289, 256448, 288345]","[18, 10402, 35]",R,2019-03-22
tt0805647,2020,106.0,,29303571.0,"[11395, 174, 11627, 7470, 214904]",en,['US'],"[{'id': 1813, 'popularity': 13.0444}, {'id': 6944, 'popularity': 3.1488}, {'id': 2283, 'popularity': 4.1984}]","[{'id': 24, 'popularity': 2.0356}]","[612, 616, 818, 2075, 2161, 4375, 9844, 13014, 15101, 208992, 211768, 267848, 275266]","[35, 14, 10751, 27]",PG,2020-10-26
tt0837156,2016,90.0,,,"[10105, 64451]",en,['US'],"[{'id': 5129, 'popularity': 1.4897}, {'id': 20580, 'popularity': 2.2991}, {'id': 1592668, 'popularity': 0.3074}]","[{'id': 1216197, 'popularity': 0.4185}]",[],"[12, 35, 10751]",PG,2016-03-17
tt0920462,2020,97.0,,106045.0,"[136892, 79500, 39530]",en,['US'],"[{'id': 109513, 'popularity': 8.3406}, {'id': 1082509, 'popularity': 1.5263}, {'id': 23229, 'popularity': 2.1205}]","[{'id': 85859, 'popularity': 0.2028}]","[818, 12369]",[18],R,2020-09-18
tt0972544,2018,101.0,,,"[54280, 112113, 150234, 149897]",en,['US'],"[{'id': 61363, 'popularity': 1.4065}, {'id': 41421, 'popularity': 4.3243}, {'id': 61186, 'popularity': 1.2439}]","[{'id': 61363, 'popularity': 1.4065}]","[380, 818, 2299, 6625, 9826, 15378, 249708]","[80, 18, 53]",,2019-11-15
