tconst,startYear,runtimeMinutes,budget,production_companies,original_language,origin_country,top_3_cast,director,keywords,genres,certification_us,release_date,profitable
tt10648440,2019,103.0,10892000.0,"[12987, 112927, 7036]",ko,['KR'],"[{'id': 1223316, 'popularity': 1.4551}, {'id': 1252045, 'popularity': 2.8534}, {'id': 936000, 'popularity': 0.9664}]","[{'id': 2206352, 'popularity': 0.2372}]","[10685, 5732, 10349, 10617, 251502]","[28, 35]",,2019-07-31,1
tt5785170,2017,155.0,3700000.0,"[91689, 28386, 80514, 86581, 86589]",hi,['IN'],"[{'id': 35070, 'popularity': 4.1448}, {'id': 1434137, 'popularity': 0.4971}, {'id': 6217, 'popularity': 1.5301}]","[{'id': 123225, 'popularity': 0.21}]","[918, 1157, 5331, 6437, 9840, 159930, 194451]","[35, 18, 10749]",,2017-08-11,1
tt4682786,2016,97.0,36000000.0,"[79, 1785, 10039, 12, 24277, 907]",en,['US'],"[{'id': 2888, 'popularity': 5.0923}, {'id': 819, 'popularity': 6.2482}, {'id': 204, 'popularity': 5.5236}]","[{'id': 5065, 'popularity': 0.8533}]","[6054, 2300, 2655, 6203, 9872, 34079, 200234, 207525, 257714, 325767]","[18, 10749]",PG-13,2016-12-15,0
tt12536294,2021,117.0,18000000.0,"[7493, 1618, 28473, 21546, 187987]",en,"['GB', 'US']","[{'id': 37917, 'popularity': 3.9955}, {'id': 9191, 'popularity': 2.2074}, {'id': 3262411, 'popularity': 0.0916}]","[{'id': 225009, 'popularity': 0.5459}]","[7376, 5809, 4833, 5565, 9672, 9332, 180546, 207317, 210608, 215634, 220649, 283085, 300091, 319319, 325835]",[18],R,2021-11-04,0
tt30327451,2024,103.0,6100000.0,"[207, 83]",fr,['FR'],"[{'id': 1159954, 'popularity': 0.5743}, {'id': 544685, 'popularity': 0.4182}, {'id': 1402424, 'popularity': 0.1794}]","[{'id': 109889, 'popularity': 0.2526}]","[3156, 8009, 156834, 192471, 243959, 325765, 325853, 325854]","[35, 18, 10402]",,2024-11-27,1
tt5258850,2017,117.0,23000000.0,"[9, 46760, 20484, 83, 104, 10611, 7131, 113342]",fr,"['CA', 'FR']","[{'id': 66957, 'popularity': 0.5526}, {'id': 14606, 'popularity': 0.6861}, {'id': 93532, 'popularity': 0.6746}]","[{'id': 14606, 'popularity': 0.6861}]","[2546, 3515, 90, 2504, 437, 11007, 13014, 166512, 173245, 180250, 250702, 258533]","[18, 80, 10752]",,2017-10-25,0
tt1355631,2016,127.0,28000000.0,[130197],en,"['US', 'GB']","[{'id': 17419, 'popularity': 5.3478}, {'id': 9824, 'popularity': 2.9954}, {'id': 5723, 'popularity': 3.4807}]","[{'id': 144221, 'popularity': 0.5081}]","[1568, 5565, 14964, 18026, 314730, 315053, 316832, 325780, 325801, 325817, 325839, 325842]","[80, 18, 53]",R,2016-07-13,0
tt11905962,2020,113.0,2600000.0,"[100821, 3451, 71156, 274894, 76049]",ru,['RU'],"[{'id': 77667, 'popularity': 1.7256}, {'id': 80999, 'popularity': 0.8024}, {'id': 80997, 'popularity': 0.9368}]","[{'id': 1849086, 'popularity': 0.132}]","[1612, 4862, 9951, 9826, 13005, 198136, 226236, 230857, 233169, 268132]","[878, 18, 27]",R,2020-07-24,0
tt3460252,2015,168.0,44000000.0,"[308, 215, 1811]",en,['US'],"[{'id': 2231, 'popularity': 7.361}, {'id': 6856, 'popularity': 4.3482}, {'id': 10431, 'popularity': 5.6202}]","[{'id': 138, 'popularity': 4.5567}]","[801, 1016, 2398, 1262, 7150, 12570, 33600, 156783, 187321, 207928, 290670, 309974, 315583, 364573]","[18, 9648, 37]",R,2015-12-25,1
tt30970235,2024,158.0,2413068.0,"[212774, 115477]",hi,['IN'],"[{'id': 1115720, 'popularity': 0.7663}, {'id': 1107197, 'popularity': 0.8144}, {'id': 2719094, 'popularity': 0.0566}]","[{'id': 3096978, 'popularity': 0.0621}]",[],"[28, 53, 18]",,2024-02-23,1
tt13957560,2023,105.0,30000000.0,"[22146, 172841, 213595]",en,['US'],"[{'id': 17142, 'popularity': 2.0989}, {'id': 94185, 'popularity': 4.2666}, {'id': 59174, 'popularity': 1.9707}]","[{'id': 50767, 'popularity': 0.6512}]","[1700, 2954, 9672, 6127, 3643, 176834, 177493, 197056, 203322, 212737, 213828, 221004, 223039, 231709, 235611, 238768, 243959, 251324, 253419, 256040, 281585, 315053, 320253, 321464, 322077, 325773, 325791, 325795, 325804, 325831, 325842, 325855, 329574]","[36, 35, 18]",R,2023-09-15,0
tt10366206,2023,169.0,100000000.0,"[3528, 23008, 264, 1632]",en,['US'],"[{'id': 6384, 'popularity': 8.8351}, {'id': 1341, 'popularity': 3.3074}, {'id': 137905, 'popularity': 4.4447}]","[{'id': 40644, 'popularity': 1.3836}]","[242, 779, 220, 90, 2708, 9663, 10291, 10642, 18103, 164092, 179430, 181644, 188955, 200235, 206041, 207268, 335874, 335875, 373589]","[28, 53, 80]",R,2023-03-21,1
