tconst,startYear,runtimeMinutes
tt0069049,2018,122.0
tt0293429,2021,110.0
tt0315642,2016,103.0
tt0327785,2024,104.0
tt0360556,2018,100.0
tt0365545,2018,98.0
tt0369610,2015,124.0
tt0376479,2016,108.0
tt0385887,2019,144.0
tt0420293,2015,122.0
tt0437086,2019,122.0
tt0439572,2023,144.0
tt0441881,2019,118.0
tt0448115,2019,132.0
tt0451279,2017,141.0
tt0460890,2017,89.0
tt0462335,2015,119.0
tt0475290,2016,106.0
tt0478970,2015,117.0
tt0490215,2016,161.0
tt0491175,2017,105.0
tt0491203,2017,105.0
tt0493405,2017,100.0
tt0498381,2017,102.0
tt0499097,2021,109.0
tt0775440,2016,98.0
tt0783640,2019,116.0
tt0787524,2015,108.0
tt0790770,2015,100.0
tt0800175,2025,110.0
tt0800325,2019,107.0
tt0803096,2016,123.0
tt0805647,2020,106.0
tt0810819,2015,119.0
tt0837156,2016,90.0
tt0837563,2019,100.0
tt0859635,2018,99.0
tt0870154,2021,127.0
tt0884732,2015,101.0
tt0887261,2022,121.0
tt0899043,2025,122.0
tt0918940,2016,110.0
tt0920462,2020,97.0
tt0972544,2018,101.0
tt0974015,2017,120.0
tt0983946,2020,109.0
tt0993840,2021,148.0
tt0995868,2016,107.0
tt10003008,2020,88.0
tt10006006,2019,84.0
tt1001520,2023,118.0
tt10015244,2022,97.0
tt10016180,2021,128.0
tt10023022,2021,94.0
tt10023024,2020,142.0
tt10023286,2021,108.0
tt10028196,2022,159.0
tt10037014,2021,109.0
tt10039344,2019,90.0
tt10059518,2020,90.0
tt10060094,2019,92.0
tt10062556,2021,113.0
tt10065694,2020,105.0
tt10068916,2020,113.0
tt10078772,2025,91.0
tt10081762,2020,78.0
tt10083174,2021,92.0
tt10083340,2022,152.0
tt10083640,2021,129.0
tt10095582,2021,105.0
tt10096842,2021,92.0
tt10098288,2021,134.0
tt10098448,2023,120.0
tt10101702,2021,90.0
tt10110614,2020,91.0
tt10121392,2021,106.0
tt10123970,2020,127.0
tt10126434,2020,104.0
tt10127684,2020,116.0
tt10127708,2020,101.0
tt10128846,2024,138.0
tt10131024,2022,89.0
tt10145122,2019,120.0
tt10147546,2019,137.0
tt1014763,2015,137.0
tt10151854,2023,130.0
tt10152736,2021,153.0
tt10155932,2021,112.0
tt10160976,2023,110.0
tt1016150,2022,148.0
tt10161886,2020,130.0
tt10168670,2022,131.0
tt10171472,2024,110.0
tt10172266,2023,118.0
tt10182822,2018,151.0
tt10183816,2020,96.0
tt10187208,2021,106.0
tt1018765,2015,107.0
tt10187680,2020,134.0
tt10189300,2019,110.0
tt10189514,2020,153.0
tt10192406,2022,94.0
tt10192566,2020,92.0
tt10192704,2021,86.0
tt10196398,2020,87.0
tt10196464,2019,115.0
tt10199586,2019,106.0
tt10199590,2019,104.0
tt10199640,2019,130.0
tt10199914,2020,121.0
tt10208198,2019,109.0
tt10214826,2019,148.0
tt10223460,2022,112.0
tt10228134,2021,91.0
tt10228168,2019,108.0
tt10229558,2020,95.0
tt10230404,2020,144.0
tt10230414,2020,114.0
tt10230422,2020,98.0
tt10230426,2020,106.0
tt10230994,2021,110.0
tt10233718,2022,110.0
tt10236164,2024,123.0
tt10242388,2022,95.0
tt10243672,2024,115.0
tt10243678,2019,100.0
tt10243992,2020,120.0
tt10245072,2024,114.0
tt1025100,2019,117.0
tt10262380,2020,88.0
tt10262648,2021,107.0
tt10263320,2019,99.0
tt10265034,2021,89.0
tt10268488,2022,126.0
tt10272386,2020,97.0
tt10272534,2019,51.0
tt10274284,2020,90.0
tt10275534,2023,119.0
tt10276470,2020,93.0
tt10276482,2023,104.0
tt10279362,2020,113.0
tt10279472,2023,100.0
tt10280276,2020,134.0
tt10280296,2021,164.0
tt10287954,2020,117.0
tt10288566,2020,117.0
tt10293406,2021,126.0
tt1029360,2015,93.0
tt10295212,2021,135.0
tt10298810,2022,105.0
tt10298840,2022,102.0
tt10300570,2021,122.0
tt10303324,2020,90.0
tt10303430,2020,89.0
tt10304142,2022,134.0
tt10307440,2020,83.0
tt10308928,2020,91.0
tt10309552,2020,86.0
tt10309902,2021,139.0
tt10309906,2020,117.0
tt10310140,2020,100.0
tt10314450,2020,93.0
tt10320050,2019,115.0
tt10322274,2021,112.0
tt10323676,2022,103.0
tt10324122,2020,99.0
tt10324144,2019,130.0
tt10327252,2021,103.0
tt10329134,2020,118.0
tt10329614,2021,84.0
tt10332588,2021,123.0
tt10333426,2021,103.0
tt10333912,2020,124.0
tt10334148,2020,99.0
tt10339052,2021,102.0
tt10340562,2022,151.0
tt10341034,2021,129.0
tt10342228,2021,93.0
tt10342730,2021,93.0
tt10343028,2022,114.0
tt1034385,2017,108.0
tt1034415,2018,152.0
