tconst,startYear,runtimeMinutes,budget,revenue,production_companies,original_language,origin_country,top_3_cast,director,keywords,genres,certification_us,release_date
tt0069049,2018,122.0,12000000.0,,"[36547, 7573]",en,['US'],"[{'id': 6593, 'popularity': 1.2742}, {'id': 143081, 'popularity': 0.507}, {'id': 39012, 'popularity': 1.5906}]","[{'id': 40, 'popularity': 2.1497}]","[1228, 8201, 4610, 9755, 11800, 9732, 12396, 14530, 33490, 34079, 235736]",[18],R,2018-11-02
tt0293429,2021,110.0,20000000.0,84426031.0,"[76907, 8000, 12]",en,"['AU', 'CA', 'US']","[{'id': 1610940, 'popularity': 1.8568}, {'id': 136347, 'popularity': 2.375}, {'id': 51684, 'popularity': 1.8654}]","[{'id': 1828590, 'popularity': 0.6788}]","[83, 2343, 3075, 10292, 9649, 9820, 14943, 14955, 41645, 156159, 161184, 188955]","[28, 14, 12]",R,2021-04-07
tt0315642,2016,103.0,5200000.0,9200000.0,"[12865, 44164, 44163, 3781]",hi,['IN'],"[{'id': 35780, 'popularity': 1.6334}, {'id': 78916, 'popularity': 1.2153}, {'id': 88797, 'popularity': 0.49}]","[{'id': 557210, 'popularity': 0.2384}]",[316],"[53, 28, 80]",PG-13,2016-01-07
tt0327785,2024,104.0,30000000.0,5928351.0,"[183234, 1757, 89171, 175316, 253068, 253069, 1632]",en,['US'],"[{'id': 543530, 'popularity': 4.1063}, {'id': 568657, 'popularity': 2.8979}, {'id': 53256, 'popularity': 2.1966}]","[{'id': 131532, 'popularity': 0.908}]","[818, 2708, 6564, 247799, 309270]","[28, 35, 53]",R,2024-09-12
tt0360556,2018,100.0,,,"[7429, 10944, 102334]",en,['US'],"[{'id': 135651, 'popularity': 4.9379}, {'id': 335, 'popularity': 2.8728}, {'id': 568657, 'popularity': 2.8979}]","[{'id': 45730, 'popularity': 0.5361}]","[818, 4565, 5737, 9714, 18082, 244256, 281445, 325844]","[18, 878, 53]",PG-13,2018-05-12
tt0365545,2018,98.0,,,"[2527, 151097]",en,['US'],"[{'id': 5411, 'popularity': 1.2491}, {'id': 195675, 'popularity': 1.6349}, {'id': 8874, 'popularity': 2.1171}]","[{'id': 1088579, 'popularity': 0.3004}]","[9799, 12096, 187056, 189368, 272029]","[35, 10749, 18]",,2018-09-21
tt0369610,2015,124.0,150000000.0,1671537444.0,"[56, 33, 923]",en,['US'],"[{'id': 73457, 'popularity': 5.1897}, {'id': 18997, 'popularity': 3.1221}, {'id': 76793, 'popularity': 1.9501}]","[{'id': 930707, 'popularity': 0.6349}]","[2041, 5251, 10685, 1766, 1718, 1720, 5160, 9663, 12616, 13031, 14798, 155582, 158340, 163561, 164246, 197013, 223059, 259376, 315709, 319467, 325811, 325812]","[12, 878]",PG-13,2015-06-06
tt0376479,2016,108.0,10000000.0,1715728.0,"[72441, 126, 1632]",en,"['US', 'HK']","[{'id': 3061, 'popularity': 4.8452}, {'id': 6161, 'popularity': 7.5547}, {'id': 501, 'popularity': 4.6181}]","[{'id': 3061, 'popularity': 4.8452}]","[2957, 1157, 818, 970, 1228, 2339, 10958, 159793, 208992, 210026, 240103]","[80, 18]",R,2016-10-20
tt0385887,2019,144.0,26000000.0,18377736.0,"[2297, 36209]",en,['US'],"[{'id': 819, 'popularity': 6.2482}, {'id': 62, 'popularity': 5.3532}, {'id': 1216606, 'popularity': 2.9584}]","[{'id': 819, 'popularity': 6.2482}]","[818, 5823, 10217, 41523, 155790, 161982, 181659, 207268, 208611]","[18, 53]",R,2019-10-31
tt0420293,2015,122.0,,643557.0,"[2289, 17379, 3898, 26834, 307]",en,['US'],"[{'id': 8289, 'popularity': 2.8504}, {'id': 11665, 'popularity': 2.0312}, {'id': 132157, 'popularity': 2.0954}]","[{'id': 229482, 'popularity': 0.1944}]","[378, 1706, 1228, 9672, 195897, 239390]","[53, 18, 36]",R,2015-07-17
